,country,Lat,Lon
0,Algeria,28.0000272,2.9999825
1,Andorra,40.9753365,-0.4442782
2,Argentina,-34.9964963,-64.9672817
3,Armenia,34.7684705,-81.2928684
4,Australia,-24.7761086,134.755
5,Austria,47.59397,14.12456
6,Bahamas,24.7736546,-78.0000547
7,Bahrain,26.1551249,50.5344606
8,Belgium,50.6402809,4.6667145
9,Bermuda,32.30382,-64.7561647
10,Brazil,-10.3333333,-53.2
11,British Virgin Islands,18.4024395,-64.5661642
12,Cambodia,12.5433216,104.8144914
13,Canada,61.0666922,-107.991707
14,Cayman Islands,19.703182249999998,-79.9174627243246
15,Chile,-31.7613365,-71.3187697
16,China,35.000074,104.999927
17,Colombia,4.099917,-72.9088133
18,Cyprus,34.9823018,33.1451285
19,Czech Republic,49.7439047,15.3381061
20,Denmark,55.670249,10.3333283
21,Egypt,26.2540493,29.2675469
22,Eswatini (Swaziland),-26.573543,31.181802
23,Finland,63.2467777,25.9209164
24,France,46.603354,1.8883335
25,Georgia,41.6809707,44.0287382
26,Germany,51.1638175,10.4478313
27,Greece,38.9953683,21.9877132
28,Guernsey,36.2130059,-119.6409604
29,Hong Kong,22.381131,114.135572
30,Hungary,47.1817585,19.5060937
31,India,22.3511148,78.6677428
32,Indonesia,-2.4833826,117.8902853
33,Ireland,52.865196,-7.9794599
34,Israel,30.8124247,34.8594762
35,Italy,42.6384261,12.674297
36,Japan,36.5748441,139.2394179
37,Kazakhstan,48.1012954,66.7780818
38,Latvia,56.8406494,24.7537645
39,Lebanon,40.3429683,-76.4233816
40,Liechtenstein,47.1416307,9.5531527
41,Luxembourg,49.8158683,6.1296751
42,Malaysia,4.5693754,102.2656823
43,Mexico,23.6585116,-102.0077097
44,Monaco,43.7311424,7.4197576
45,Morocco,31.1728205,-7.3362482
46,Nepal,28.1083929,84.0917139
47,Netherlands,52.2434979,5.6343227
48,New Zealand,-41.5000831,172.8344077
49,Nigeria,9.6000359,7.9999721
50,Norway,61.1529386,8.7876653
51,Oman,21.0000287,57.0036901
52,Panama,8.559559,-81.1308434
53,Peru,-6.8699697,-75.0458515
54,Philippines,12.7503486,122.7312101
55,Poland,52.215933,19.134422
56,Portugal,39.6621648,-8.1353519
57,Qatar,25.3336984,51.2295295
58,Romania,45.9852129,24.6859225
59,Russia,64.6863136,97.7453061
60,Singapore,1.357107,103.8194992
61,Slovakia,48.7411522,19.4528646
62,South Africa,-28.8166236,24.991639
63,South Korea,36.638392,127.6961188
64,Spain,39.3260685,-4.8379791
65,Sweden,59.6749712,14.5208584
66,Switzerland,46.7985624,8.2319736
67,Taiwan,23.9739374,120.9820179
68,Tanzania,-6.5247123,35.7878438
69,Thailand,14.8971921,100.83273
70,Turkey,38.9597594,34.9249653
71,Turks and Caicos Islands,21.721746,-71.5527809
72,Ukraine,49.4871968,31.2718321
73,United Arab Emirates,24.0002488,53.9994829
74,United Kingdom,54.7023545,-3.2765753
75,United States,39.7837304,-100.445882
76,Uruguay,-32.8755548,-56.0201525
77,Uzbekistan,41.32373,63.9528098
78,Vietnam,15.9266657,107.9650855
